embryo	Experiment	date	GD	hr		t	Stage	max length	max width
Rab8_e2	Rabbit#8	20210112	8	22	0.541666667	8.54	2-3 somites	2727	1222
Rab8_e3	Rabbit#8	20210112	8	22	0.541666667	8.54	2-3 somites	2704	1241
Rab8_e4	Rabbit#8	20210112	8	22	0.541666667	8.54	6	2208	801
Rab8_e5	Rabbit#8	20210112	8	22	0.541666667	8.54	5	2014	984
Rab8_e6_Anterior	Rabbit#8	20210112	8	22	0.541666667	8.54	3 somites	3225	1082
Rab8_e6_Posterior	Rabbit#8	20210112	8	22	0.541666667	8.54			
Rab8_e6_Trunk	Rabbit#8	20210112	8	22	0.541666667	8.54			
Rab4_e1	Rabbit#4	20201021	9	10	0.041666667	9.04	15 somites		
Rab4_e10	Rabbit#4	20201021	9	10	0.041666667	9.04	13 somites		
Rab4_e2	Rabbit#4	20201021	9	10	0.041666667	9.04	15 somites		
Rab4_e3	Rabbit#4	20201021	9	10	0.041666667	9.04	14 somites		
Rab4_e4	Rabbit#4	20201021	9	10	0.041666667	9.04	11 somites		
Rab4_e5	Rabbit#4	20201021	9	10	0.041666667	9.04	13 somites		
Rab4_e6	Rabbit#4	20201021	9	10	0.041666667	9.04	11 somites		
Rab4_e7	Rabbit#4	20201021	9	10	0.041666667	9.04	16 somites		
Rab4_e8	Rabbit#4	20201021	9	10	0.041666667	9.04	16 somites		
Rab4_e9	Rabbit#4	20201021	9	10	0.041666667	9.04	16 somites		
rab13_e1	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e2	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e3	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e4	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e5	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e8	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e9	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e10	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
rab13_e11	Rabbit#13	20210712	6	11	0.083333333	6.08	0	0	0
0830e1	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1752	999
0830e2	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1270	719
0830e3	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1768	1053
0830e4	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1467	1034
0830e5	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1688	1334
0830e6	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1207	947
0830e7	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1673	1092
0830e8	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1825	1210
0830e9	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1402	1025
0830e10	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1401	912
0830e11	Rabbit#11	20210830	7	20	0.458333333	7.458333333	4*	1692	1180
Rab9_e2	Rabbit#9	20210608	7	20.25	0.46875	7.46875	NA	NA	NA
Rab9_e5	Rabbit#9	20210608	7	20.25	0.46875	7.46875	NA	NA	NA
Rab9_e4	Rabbit#9	20210608	7	20.25	0.46875	7.46875	NA	NA	NA
Rab9_e6	Rabbit#9	20210608	7	20.25	0.46875	7.46875	NA	NA	NA
Rab9_e1	Rabbit#9	20210608	7	20.25	0.46875	7.46875	NA	NA	NA
Rab9_e3	Rabbit#9	20210608	7	20.25	0.46875	7.46875	NA	NA	NA
0824e1	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
0824e2	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
0824e3	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
0824e4_anterior	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
0824e4_posterior	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
0824e4_middle	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
0824e5	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
0824e6	Rabbit#10	20210824	7	27	0.75	7.75	0	0	0
Rab15_e1_head	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
Rab15_e1_midAnt	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
Rab15_e1_midPost	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
Rab15_e1_tail	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
Rab15_e6	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
Rab15_e7	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
Rab15_e8	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
Rab15_e9	Rabbit#15	20220119	8	13	0.166666667	8.17	0	0	0
rab14_e1	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e2	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e3	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e4	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e5	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e6	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e7	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e8	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e9	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
rab14_e10	Rabbit#14	20220106	8	1900	0.416666667	8.42	0	0	0
Rab12_e1	Rabbit#12	20210913	8	22	0.541666667	8.541666667	9 somites	0	0
Rab12_e2	Rabbit#12	20210913	8	22	0.541666667	8.541666667	0-1 somites	0	0
Rab12_e3	Rabbit#12	20210913	8	22	0.541666667	8.541666667	10 somites	0	0
Rab12_e4	Rabbit#12	20210913	8	22	0.541666667	8.541666667	12 somites	0	0
Rab12_e5	Rabbit#12	20210913	8	22	0.541666667	8.541666667	6 somites	0	0
Rab12_e6	Rabbit#12	20210913	8	22	0.541666667	8.541666667	9 somites	0	0
Rab12_e8	Rabbit#12	20210913	8	22	0.541666667	8.541666667	1 somites	0	0
