Plate	Owner	Experiment	Genotype	Ref	Empty.Wells	Plate.Date	Plate..	Sort.Date	Production.Date	Internal.Index	External.Index	QC1	QC2	delta_CT	Libprep.Cycles	Conc...ng.ul.	Evarage.size..bp.	Sequencing.Dates	Comment	X	Last.sequensing.date	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	external	seq_runs	seq_batch
EXE_EXP12_E7.5_1	Roni	EXE	EXE_EXP12_E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/16/2019	#NR1071	12/18/2019	12/26/2019	12	4B	24.6	18.7	5.8	2+11	56.4	362	191231|200113|200719	e1_e2_both_are_cut		200719	EXE_EXP12_E7.5_1	191231|200113|200719	EXE_EXP12_E7.5_1	4B	191231|200113|200719	191231_200113_200719_4B
EXE_EXP12_E7.5_2	Roni	EXE	EXE_EXP12_E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/16/2019	#NR1070	12/18/2019	12/26/2019	13	4B	24.3	18.9	5.4	2+11	42.4	342	191231|200113|200719	e3		200719	EXE_EXP12_E7.5_2	191231|200113|200719	EXE_EXP12_E7.5_2	4B	191231|200113|200719	191231_200113_200719_4B
EXE_EXP12_E7.5_3	Roni	EXE	EXE_EXP12_E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/16/2019	#NR1065	12/18/2019	12/26/2019	14	4B	24.3	18.9	5.4	2+11	35.2	414	191231|200113|200719	e4		200719	EXE_EXP12_E7.5_3	191231|200113|200719	EXE_EXP12_E7.5_3	4B	191231|200113|200719	191231_200113_200719_4B
EXE_EXP12_E7.5_4	Roni	EXE	EXE_EXP12_E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/16/2019	#NR1063	12/18/2019	12/26/2019	15	4B	25.2	18.9	6.3	2+11	37.2	559	191231|200113|200719	e5_e6		200719	EXE_EXP12_E7.5_4	191231|200113|200719	EXE_EXP12_E7.5_4	4B	191231|200113|200719	191231_200113_200719_4B
EXE_EXP13_E7.5_P1_E1_E2_E3_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/12/2019	1055	27/12/2019	30/12/2019	5	1G	25.1	19.5	5.6	2+12	13.8	411	201101	E1_E2_E3	NOVASeq external indexes	201101	EXE_EXP13_E7.5_P1_E1_E2_E3_NOVA	201101	EXE_EXP13_E7.5_P1_E1_E2_E3_NOVA	1G	201101	201101_1G
EXE_EXP13_E7.5_P1_E4_e5	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/12/2019	1058	27/12/2019	30/12/2019	6	1H	25.1	17.9	7.2	2+12	9.34	443	201101	E4_E5	NOVASeq external indexes	201101	EXE_EXP13_E7.5_P1_E4_e5	201101	EXE_EXP13_E7.5_P1_E4_e5	1H	201101	201101_1H
EXE_EXP13_E7.5_P1_E6_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/12/2019	1089	27/12/2019	30/12/2019	7	2A	25.5	17.5	8	2+12	8.26	325	201101	E6	NOVASeq external indexes	201101	EXE_EXP13_E7.5_P1_E6_NOVA	201101	EXE_EXP13_E7.5_P1_E6_NOVA	2A	201101	201101_2A
EXE_exp14_spatial_p1_E6.5_e1_e2_e3_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/12/2019	1086	02/01/2020	07/01/2020	15	2C	25	19.7	5.3	2+12	9.7	330	201101	e1_e2_e3	NOVASeq external indexes	201101	EXE_exp14_spatial_p1_E6.5_e1_e2_e3_NOVA	201101	EXE_exp14_spatial_p1_E6.5_e1_e2_e3_NOVA	2C	201101	201101_2C
EXE_exp14_spatial_p2_E6.5_e5_e6_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/12/2019	1087	02/01/2020	07/01/2020	16	2D	23.5	17.8	5.6	2+12	10.7	318	201101	e5_e6	NOVASeq external indexes	201101	EXE_exp14_spatial_p2_E6.5_e5_e6_NOVA	201101	EXE_exp14_spatial_p2_E6.5_e5_e6_NOVA	2D	201101	201101_2D
EXE_exp15_spatial_p1_E6.5_e1_e2_e3_m1e2	Roni	EXE	EXE_exp15_spatial_p1_E6.5_e1_e2_e3_m1e2	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/16/2019	1073	1/13/2020	1/19/2020	13	4D	26.7	18.1	8.6	2+11	23.6	367	200212|200719	e1_e2_e3_m1e2		200719	EXE_exp15_spatial_p1_E6.5_e1_e2_e3_m1e2	200212|200719	EXE_exp15_spatial_p1_E6.5_e1_e2_e3_m1e2	4D	200212|200719	200212_200719_4D
EXE_EXP8_E6.5_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	01/12/2019	#NR1034	11/12/2019	19/12/2019	4	1E	24.4	19.4	5.1	2+12	11.7	298	201101	E3_E4_E5	NOVASeq external indexes	201101	EXE_EXP8_E6.5_NOVA	201101	EXE_EXP8_E6.5_NOVA	1E	201101	201101_1E
EXE_EXP8_E6.5_NOVA_701	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	24/11/2019	#701	11/12/2019	19/12/2019	3	1D	24.7	19	5.7	2+12	10.9	304	201101	E1+E2	NOVASeq external indexes	201101	EXE_EXP8_E6.5_NOVA_701	201101	EXE_EXP8_E6.5_NOVA_701	1D	201101	201101_1D
EXE1_e1-3_E6.25_1	Roni	EXE	e6.25_exe_	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/07/2019	385	8/18/2019	10/27/2019	1	4C	26.5	20.5	6.1	2+11	3.3	438	191110|191121	e1+e2+e3		191121	EXE1_e1-3_E6.25_1	191110|191121	EXE1_e1-3_E6.25_1	4C	191110|191121	191110_191121_4C
EXE2_e3_E7.5_2	Roni	EXE	E7.5_EXE_exp2_m1_e3	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/12/2019	#1017	10/24/2019	12/02/2019	10	4G	NA	NA	NA		NA		191215			191215	EXE2_e3_E7.5_2	191215	EXE2_e3_E7.5_2	4G	191215	191215_4G
EXE2_e4_E7.5_3	Roni	EXE	E7.5_EXE_exp2_m1_e4	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/12/2019	#1013	10/24/2019	12/02/2019	4	4E	25.7	17	8.7	2+11	34.8	370	191215	half a plate		191215	EXE2_e4_E7.5_3	191215	EXE2_e4_E7.5_3	4E	191215	191215_4E
EXE2_e5_E7.5_4	Roni	EXE	EXE_exp2_E7.5_m1_e5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/12/2019	#1015	10/24/2019	12/02/2019	8	4F	26.3	19.5	6.8	2+11	33.2	309	191215	e5 only		191215	EXE2_e5_E7.5_4	191215	EXE2_e5_E7.5_4	4F	191215	191215_4F
EXE3_e1_E6.5_1	Roni	EXE	e6.25_exe_m1e1	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/12/2019	#1002	11/03/2019	12/03/2019	11	4G	27	19.2	7.8	2+11	12.9	444	191215	m1_e1_half a plate		191215	EXE3_e1_E6.5_1	191215	EXE3_e1_E6.5_1	4G	191215	191215_4G
EXE3_e2-3_E6.5_2	Roni	EXE	e6.5_exe_m1e2ande3	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/12/2019	#1005	11/03/2019	12/03/2019	12	4G	25.2	18.1	7	2+11	28	451	191215	m1_e2_e3		191215	EXE3_e2-3_E6.5_2	191215	EXE3_e2-3_E6.5_2	4G	191215	191215_4G
EXE3_e4-e5_E6.5_3	Roni	EXE	e6.5_exe_m1e4ande5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/12/2019	#1016	11/03/2019	12/03/2019	13	4H	25.1	18.2	6.9	2+11	16.4	457	191215	m1_e4_e5		191215	EXE3_e4-e5_E6.5_3	191215	EXE3_e4-e5_E6.5_3	4H	191215	191215_4H
EXE3_m2e1-e3_E6.5_4	Roni	EXE	e6.5_exe_m2e1_e3	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/28/2019	#1036	11/03/2019	12/03/2019	14	4H	25	17.3	7.7	2+11	26.6	447	191215	m2 _e1__e2_e3		191215	EXE3_m2e1-e3_E6.5_4	191215	EXE3_m2e1-e3_E6.5_4	4H	191215	191215_4H
EXE3_m2e3cont-m3e1-e2_E6.5_5	Roni	EXE	e6.5_exe_m2_e3cont_m3_e1_e2	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/28/2019	#1034	11/03/2019	12/03/2019	15	4H	25.4	19.1	6.3	2+11	9.8	438	191215	m2e3 cont_m3_e1_e2		191215	EXE3_m2e3cont-m3e1-e2_E6.5_5	191215	EXE3_m2e3cont-m3e1-e2_E6.5_5	4H	191215	191215_4H
"EXE4_M1E1-E4,M2E1-E2_E5.5_1"	Roni	EXE	E5.5 c57bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/28/2019	#1025	11/11/2019	12/02/2019	1	4E	25.7	21	4.7	2+11	5.8	343	191215	6_embryos		191215	"EXE4_M1E1-E4,M2E1-E2_E5.5_1"	191215	"EXE4_M1E1-E4,M2E1-E2_E5.5_1"	4E	191215	191215_4E
EXE5_E1-E4_E6.5_1	Roni	EXE	E6.5 c57bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	09/01/2019	LLZM2	11/14/2019	12/02/2019	2	4E	26.3	18.2	8.1	2+11	30.8	336	191215	e1-e4		191215	EXE5_E1-E4_E6.5_1	191215	EXE5_E1-E4_E6.5_1	4E	191215	191215_4E
EXE5_E4cont-E6_E6.5_2	Roni	EXE	E6.5 c57bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	09/01/2019	LLZM2	11/14/2019	12/02/2019	3	4E	25.3	17.2	8.1	2+11	32.2	356	191215	e4cont-e6		191215	EXE5_E4cont-E6_E6.5_2	191215	EXE5_E4cont-E6_E6.5_2	4E	191215	191215_4E
EXE5_E6cont-E7_E6.5_3	Roni	EXE	E6.5 c57bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	09/01/2019	LLZM2	11/14/2019	12/02/2019	7	4F	26.3	18.5	7.8	2+11	35.6	317	191215	e6cont-e7		191215	EXE5_E6cont-E7_E6.5_3	191215	EXE5_E6cont-E7_E6.5_3	4F	191215	191215_4F
P1_EXE16_E6.5	Roni	EXE	EXE16_spatial_E6.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/16/2019	1078	1/19/2020	1/22/2020	2	4E	26	18.1	7.9	2+11	27.8	393	200212|200719	M1E1_M1E2_M2E1		200719	P1_EXE16_E6.5	200212|200719	P1_EXE16_E6.5	4E	200212|200719	200212_200719_4E
P2_EXE16_E6.5	Roni	EXE	EXE16_spatial_E6.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/16/2019	1076	1/19/2020	1/22/2020	3	4E	26	17.9	8.2	2+11	28	391	200212	M2E2_M2E3_M2E4		200212	P2_EXE16_E6.5	200212	P2_EXE16_E6.5	4E	200212	200212_4E
P3_EXE16_E6.5_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/12/2019	1068	19/01/2020	22/01/2020	4	3B	25.8	18	7.7	2+12	7.82	312	201101	M2E5_M3E1_M3E2_M3E3	NOVASeq external indexes	201101	P3_EXE16_E6.5_NOVA	201101	P3_EXE16_E6.5_NOVA	3B	201101	201101_3B
P4_EXE16_E6.5	Roni	EXE	EXE16_spatial_E6.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1143	1/19/2020	1/22/2020	5	4F	25.8	17.4	8.4	2+11	19.9	359	200212|200719	M3E4CONT_M3E4_M3E5_M3E7		200719	P4_EXE16_E6.5	200212|200719	P4_EXE16_E6.5	4F	200212|200719	200212_200719_4F
EXE29_P1	Roni	EXE_29	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	03/06/2021	NR2513	23/06/2021	19/09/2021	1	1A	NA	22.4	NA	2+13	11.3	321	211031	e1_e2_e3_e4_e5		211031	EXE29_P1	211031	EXE29_P1	1A	211031	211031_1A
EXE29_P2	Roni	EXE_29	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	03/06/2021	NR2512	23/06/2021	19/09/2021	2	1B	NA	22.8	NA	2+13	6.5	321	211031	e6_e7		211031	EXE29_P2	211031	EXE29_P2	1B	211031	211031_1B
EXE30_P1	Roni	EXE_30	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	03/06/2021	NR2504	30/06/2021	23/09/2021	9	2A	NA	20.8	NA	2+11	5.34	314	211031	E1_E2_E3_E4		211031	EXE30_P1	211031	EXE30_P1	2A	211031	211031_2A
EXE31_p1	Roni	EXE_31	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/01/2021	NR2402	12/07/2021	19/09/2021	3	1C	NA	20.5	NA	2+11	6.34	321	211031	E1_E2_E3_E4		211031	EXE31_p1	211031	EXE31_p1	1C	211031	211031_1C
EXE17_E5.5_P1	Roni	EXE-17	E5.5_EXE17_P1	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1139	1/22/2020	02/10/2020	9	4E	NA	18.8	-18.8	2+11	18.9	394	200301	"e1,e2,e3,e4,e5"		200301	EXE17_E5.5_P1	200301	EXE17_E5.5_P1	4E	200301	200301_4E
EXE18_P1	Roni	EXE-18	EXE18_e8.5_P1_placenta_e1	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1142	1/30/2020	02/10/2020	10	4E	NA	20.3	-20.3	2+11	9	401	200301	placenta of e1_e1		200301	EXE18_P1	200301	EXE18_P1	4E	200301	200301_4E
EXE18_P10	Roni	EXE-18	EXE18_e8.5_P10_e4	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1103	1/30/2020	02/09/2020	6	4B	25.7	19.3	6.4	2+11	21.6	445	200301	e4		200301	EXE18_P10	200301	EXE18_P10	4B	200301	200301_4B
EXE18_P11_NOVA	Roni	EXE-18		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	24/12/2019	1102	30/01/2020	09/02/2020	7	3D	25.7	21.2	4.5	2+13	13	303	201101	e4_cont_b	NOVASeq external indexes	201101	EXE18_P11_NOVA	201101	EXE18_P11_NOVA	3D	201101	201101_3D
EXE18_P12	Roni	EXE-18	EXE18_e8.5_P11_e4_c	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1092	1/30/2020	02/09/2020	8	4B	26.4	19.8	6.5	2+11	16.7	445	200301	e4_cont_c		200301	EXE18_P12	200301	EXE18_P12	4B	200301	200301_4B
EXE18_P2_NOVA	Roni	EXE-18		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	24/12/2019	1141	30/01/2020	10/02/2020	11	3E	NA	20.5	NA	2+12	6.46	415	201101	e1_cont	NOVASeq external indexes	201101	EXE18_P2_NOVA	201101	EXE18_P2_NOVA	3E	201101	201101_3E
EXE18_P3	Roni	EXE-18	EXE18_e8.5_P3_e1	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1144	1/30/2020	02/09/2020	4	4A	26	18.9	7.1	2+11	21	451	200301	e1_cont_b		200301	EXE18_P3	200301	EXE18_P3	4A	200301	200301_4A
EXE18_P4	Roni	EXE-18	EXE18_e8.5_P4_e1	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1138	1/30/2020	02/10/2020	12	4E	NA	19.8	-19.8	2+11	9.6	378	200301	e1_cont_c		200301	EXE18_P4	200301	EXE18_P4	4E	200301	200301_4E
EXE18_P5_NOVA	Roni	EXE-18		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	24/12/2019	1137	30/01/2020	10/02/2020	13	3F	NA	20.4	NA	2+12	8.98	428	201101	placenta of e2_e2	NOVASeq external indexes	201101	EXE18_P5_NOVA	201101	EXE18_P5_NOVA	3F	201101	201101_3F
EXE18_P6	Roni	EXE-18	EXE18_e8.5_P6_e2b	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1135	1/30/2020	02/10/2020	14	4F	NA	19.2	-19.2	2+11	10.2	389	200301	e2_cont_b		200301	EXE18_P6	200301	EXE18_P6	4F	200301	200301_4F
EXE18_P8	Roni	EXE-18	EXE18_e8.5_P7_e2d	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1101	1/30/2020	02/10/2020	16	4F	NA	19.8	-19.8	2+11	15.5	398	200301	e2_cont_d		200301	EXE18_P8	200301	EXE18_P8	4F	200301	200301_4F
EXE18_P9	Roni	EXE-18	EXE18_e8.5_P9_placenta of e4	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1100	1/30/2020	02/09/2020	5	4B	25.7	20	5.7	2+11	20.6	437	200301	placenta+some YS of e4		200301	EXE18_P9	200301	EXE18_P9	4B	200301	200301_4B
exe19_p1	Roni	EXE-19	E8.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1129	02/11/2020	2/17/2020	1	4C	25.7	18.6	7	2+11	36.4	595	200301	M1E2_placenta		200301	exe19_p1	200301	exe19_p1	4C	200301	200301_4C
exe19_p10	Roni	EXE-19		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1117	11/02/2020	03/01/2020	2	4F	26.3	17	9.3	2+11	18.7	437	200630|200719	m1e5_b		200719	exe19_p10	200630|200719	exe19_p10	4F	200630|200719	200630_200719_4F
exe19_p11_NOVAseq	Roni	EXE-19		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1115	11/02/2020	03/01/2020	3	AB34_SB396	26	17.8	8.2	2+11	17.3	317	200615	m1e5_c		200615	exe19_p11_NOVAseq	200615	exe19_p11_NOVAseq	AB34_SB396	200615	200615_AB34_SB396
exe19_p2	Roni	EXE-19	E8.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1132	02/11/2020	2/17/2020	2	4C	26.8	20.3	6.5	2+11	13.8	429	200301	M1E2		200301	exe19_p2	200301	exe19_p2	4C	200301	200301_4C
exe19_p3	Roni	EXE-19	E8.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1127	02/11/2020	2/17/2020	3	4C	25.7	18.5	7.2	2+11	22.2	403	200301	M1E2_b		200301	exe19_p3	200301	exe19_p3	4C	200301	200301_4C
exe19_p4	Roni	EXE-19	E8.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1126	02/11/2020	2/17/2020	4	4C	25.7	18.7	7	2+11	32.6	370	200301	M1E2_c		200301	exe19_p4	200301	exe19_p4	4C	200301	200301_4C
exe19_p5	Roni	EXE-19	E8.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1124	02/11/2020	2/17/2020	5	4D	25.6	19.4	6.2	2+11	26	407	200301	M1E4_placenta		200301	exe19_p5	200301	exe19_p5	4D	200301	200301_4D
exe19_p6	Roni	EXE-19	E8.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1123	02/11/2020	2/17/2020	6	4D	25.8	18.9	6.9	2+11	30.4	422	200301	"M1E4_placenta_cont,e4"		200301	exe19_p6	200301	exe19_p6	4D	200301	200301_4D
exe19_p8	Roni	EXE-19	E8.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1122	02/11/2020	2/17/2020	8	4D	25.3	18.6	6.7	2+11	28.2	399	200301	M1E4_c_m1e5_placenta		200301	exe19_p8	200301	exe19_p8	4D	200301	200301_4D
exe19_p9	Roni	EXE-19		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/24/2019	1116	11/02/2020	03/01/2020	1	4F	26	17.4	8.7	2+11	18.9	451	200630|200719	m1e5_placenta_cont_m1e5		200719	exe19_p9	200630|200719	exe19_p9	4F	200630|200719	200630_200719_4F
exe21_p1	Roni	EXE-21	E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	1/27/2020	1146	2/25/2020	03/04/2020	9	4G	NA	NA	NA		NA		200531|200630			200630	exe21_p1	200531|200630	exe21_p1	4G	200531|200630	200531_200630_4G
exe21_p2	Roni	EXE-21	E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	1/27/2020	1149	2/25/2020	03/04/2020	10	4G	NA	NA	NA		NA		200531|200630			200630	exe21_p2	200531|200630	exe21_p2	4G	200531|200630	200531_200630_4G
exe21_p3	Roni	EXE-21		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	1/27/2020	1148	2/25/2020	03/04/2020	11	4G	25.1	16.8	8.3	2+11	10.8	466	200630|200719	"m1e3_cont, m1e4"		200719	exe21_p3	200630|200719	exe21_p3	4G	200630|200719	200630_200719_4G
exe21_p4	Roni	EXE-21		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	1/27/2020	1151	2/25/2020	03/04/2020	12	4G	24.9	16.9	8	2+11	15.4	449	200630|200719	m1e4_cont		200719	exe21_p4	200630|200719	exe21_p4	4G	200630|200719	200630_200719_4G
exe21_p5	Roni	EXE-21	E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	1/27/2020	1150	2/25/2020	03/04/2020	13	4H	NA	NA	NA		NA		200531|200630			200630	exe21_p5	200531|200630	exe21_p5	4H	200531|200630	200531_200630_4H
EXE22_p1_placenta_e1	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	23/02/2020	1265	26/03/2020	05/08/2020	6	3F	28.2	21.7	7.4	2+13	17	358	200910	EXE22_placenta_e1	NOVASeq external indexes	200910	EXE22_p1_placenta_e1	200910	EXE22_p1_placenta_e1	3F	200910	200910_3F
EXE22_p10_e4b_placenta_e5	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	18/03/2020	1333	26/03/2020	06/08/2020	15	4G	26.7	20.8	6.9	2+13	22.4	349	200910	EXE22_e4_placenta_e5	NOVASeq external indexes	200910	EXE22_p10_e4b_placenta_e5	200910	EXE22_p10_e4b_placenta_e5	4G	200910	200910_4G
